parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
83501:001:0143,37168.0,attribute:haritav,reported_ha,570.380491,-98.465399,5.0,comparable,
83501:001:0150,0.1293,attribute:mets,reported_m2,570.380491,441029.536736,5.0,comparable,
83501:001:0151,0.7446,attribute:mets,reported_m2,570.380491,76502.268466,5.0,comparable,
83501:001:0163,4.4413,attribute:mets,reported_m2,570.380491,12742.64722,5.0,comparable,
83501:001:0164,5.5808,attribute:mets,reported_m2,570.380491,10120.407307,5.0,comparable,
83501:001:0165,1.6904,attribute:mets,reported_m2,570.380491,33642.338559,5.0,comparable,
83501:001:0166,2.8148,attribute:mets,reported_m2,570.380491,20163.624094,5.0,comparable,
83501:001:0181,41.0,attribute:haritav,reported_ha,570.380491,1291.171929,5.0,comparable,
83501:001:0204,0.4593,attribute:mets,reported_m2,570.380491,124084.735685,5.0,comparable,
83501:001:0205,6802.0,attribute:haritav,reported_ha,570.380491,-91.614518,5.0,comparable,
83501:001:0214,13114.0,attribute:haritav,reported_ha,570.380491,-95.650599,5.0,comparable,
83501:001:0215,0.688581,geometry,geodesic_wgs84_pyproj,570.380491,82734.189587,5.0,comparable,
83501:001:0218,5.7735,attribute:mets,reported_m2,570.380491,9779.284507,5.0,comparable,
83501:001:0219,8145.0,attribute:haritav,reported_ha,570.380491,-92.99717,5.0,comparable,
83501:001:0220,1089.0,attribute:haritav,reported_ha,570.380491,-47.623463,5.0,comparable,
83501:001:0221,65679.0,attribute:haritav,reported_ha,570.380491,-99.131563,5.0,comparable,
83501:001:0222,678.0,attribute:haritav,reported_ha,570.380491,-15.873084,5.0,comparable,
83501:001:0229,0.1112,attribute:mets,reported_m2,570.380491,512832.096223,5.0,comparable,
83501:001:0232,0.1418,attribute:mets,reported_m2,570.380491,402142.941467,5.0,comparable,
83501:001:0233,14.0739,attribute:mets,reported_m2,570.380491,3952.753615,5.0,comparable,
83501:001:0234,0.0131,attribute:mets,reported_m2,570.380491,4353949.549618,5.0,comparable,
83501:001:0238,29194.0,attribute:haritav,reported_ha,570.380491,-98.046241,5.0,comparable,
83501:001:0247,0.109146,geometry,geodesic_wgs84_pyproj,570.380491,522484.878053,5.0,comparable,
83501:001:0255,4.0532,attribute:mets,reported_m2,570.380491,13972.35002,5.0,comparable,
83501:001:0256,0.0989,attribute:mets,reported_m2,570.380491,576624.460061,5.0,comparable,
83501:001:0257,2.2624,attribute:mets,reported_m2,570.380491,25111.301759,5.0,comparable,
83501:001:0263,1608.0,attribute:haritav,reported_ha,570.380491,-64.528576,5.0,comparable,
83501:001:0264,4326.0,attribute:haritav,reported_ha,570.380491,-86.81506,5.0,comparable,
83501:001:0265,58013.0,attribute:haritav,reported_ha,570.380491,-99.016806,5.0,comparable,
83501:001:0266,57995.0,attribute:haritav,reported_ha,570.380491,-99.016501,5.0,comparable,
83501:001:0282,544.0,attribute:haritav,reported_ha,570.380491,4.849355,5.0,comparable,
83501:001:0283,37503.0,attribute:haritav,reported_ha,570.380491,-98.479107,5.0,comparable,
83501:001:0286,0.638619,geometry,geodesic_wgs84_pyproj,570.380491,89214.676043,5.0,comparable,
83501:001:0294,0.313862,geometry,geodesic_wgs84_pyproj,570.380491,181629.706368,5.0,comparable,
83501:001:0295,99.0,attribute:haritav,reported_ha,570.380491,476.14191,5.0,comparable,
83501:001:0306,558.0,attribute:haritav,reported_ha,570.380491,2.218726,5.0,comparable,
83501:001:0310,59.0,attribute:haritav,reported_ha,570.380491,866.746595,5.0,comparable,
83501:001:0311,82208.0,attribute:haritav,reported_ha,570.380491,-99.306174,5.0,comparable,
83501:001:0314,0.139854,geometry,geodesic_wgs84_pyproj,570.380491,407739.955239,5.0,comparable,
83501:001:0320,0.18793,geometry,geodesic_wgs84_pyproj,570.380491,303406.886075,5.0,comparable,
83501:001:0330,0.245235,geometry,geodesic_wgs84_pyproj,570.380491,232485.271678,5.0,comparable,
83501:001:0351,40226.0,attribute:haritav,reported_ha,570.380491,-98.58206,5.0,comparable,
83501:001:0352,0.419107,geometry,geodesic_wgs84_pyproj,570.380491,135994.241089,5.0,comparable,
83501:001:0355,4173.0,attribute:haritav,reported_ha,570.380491,-86.331644,5.0,comparable,
83501:001:0368,0.3579,attribute:mets,reported_m2,570.380491,159268.675887,5.0,comparable,
83501:001:0396,202.0,attribute:haritav,reported_ha,570.380491,182.36658,5.0,comparable,
83501:001:0409,30049.0,attribute:haritav,reported_ha,570.380491,-98.101832,5.0,comparable,
83501:001:0410,0.420355,geometry,geodesic_wgs84_pyproj,570.380491,135590.188293,5.0,comparable,
83501:001:0413,2.7067,attribute:mets,reported_m2,570.380491,20972.911331,5.0,comparable,
83501:001:0414,3.7603,attribute:mets,reported_m2,570.380491,15068.483658,5.0,comparable,
83501:001:0420,165.0,attribute:haritav,reported_ha,570.380491,245.685146,5.0,comparable,
83501:001:0421,42029.0,attribute:haritav,reported_ha,570.380491,-98.642888,5.0,comparable,
83501:001:0422,2000.0,attribute:haritav,reported_ha,570.380491,-71.480975,5.0,comparable,
91201:001:0001,0.005234,geometry,geodesic_wgs84_pyproj,570.380491,10897502.044326,5.0,comparable,
91201:001:0002,35.0,attribute:haritav,reported_ha,570.380491,1529.658546,5.0,comparable,
91201:001:0003,0.186801,geometry,geodesic_wgs84_pyproj,570.380491,305241.240679,5.0,comparable,
91201:001:0004,0.113091,geometry,geodesic_wgs84_pyproj,570.380491,504255.3342,5.0,comparable,
91201:001:0005,0.079247,geometry,geodesic_wgs84_pyproj,570.380491,719650.263101,5.0,comparable,
91201:001:0008,0.03895,geometry,geodesic_wgs84_pyproj,570.380491,1464291.504493,5.0,comparable,
91201:001:0009,0.004492,geometry,geodesic_wgs84_pyproj,570.380491,12697595.703473,5.0,comparable,
91201:001:0010,0.184026,geometry,geodesic_wgs84_pyproj,570.380491,309845.600622,5.0,comparable,
91201:001:0011,0.189275,geometry,geodesic_wgs84_pyproj,570.380491,301250.14714,5.0,comparable,
91201:001:0012,41.0,attribute:haritav,reported_ha,570.380491,1291.171929,5.0,comparable,
91201:001:0013,0.113113,geometry,geodesic_wgs84_pyproj,570.380491,504157.239221,5.0,comparable,
91201:001:0014,0.121594,geometry,geodesic_wgs84_pyproj,570.380491,468986.049476,5.0,comparable,
91201:001:0015,0.550059,geometry,geodesic_wgs84_pyproj,570.380491,103594.420235,5.0,comparable,
91201:001:0016,0.119866,geometry,geodesic_wgs84_pyproj,570.380491,475748.439925,5.0,comparable,
91201:001:0017,0.150383,geometry,geodesic_wgs84_pyproj,570.380491,379185.219074,5.0,comparable,
91201:001:0018,0.121103,geometry,geodesic_wgs84_pyproj,570.380491,470887.911943,5.0,comparable,
91201:001:0019,0.119612,geometry,geodesic_wgs84_pyproj,570.380491,476758.919674,5.0,comparable,
91201:001:0020,0.114627,geometry,geodesic_wgs84_pyproj,570.380491,497496.980642,5.0,comparable,
91201:001:0021,0.09276,geometry,geodesic_wgs84_pyproj,570.380491,614799.19254,5.0,comparable,
91201:001:0022,2.130599,geometry,geodesic_wgs84_pyproj,570.380491,26670.898278,5.0,comparable,
91201:001:0023,1870.0,attribute:haritav,reported_ha,570.380491,-69.498369,5.0,comparable,
91201:001:0024,0.3258,attribute:mets,reported_m2,570.380491,174970.746163,5.0,comparable,
